manufacturer_id,model,category,status,focal_length_mm,max_aperture,image_circle_mm,min_working_distance_mm,max_working_distance_mm,mount_type,length_mm,weight_g,price_usd
6,MVL-KF5024M-12MP,fa,active,50.0,2.4,14.1,200.0,,C-mount,50.0,95.0,179.0
7,AFT-2514BC,telecentric,active,25.0,2.8,11.0,65.0,65.0,C-mount,120.0,350.0,899.0
7,AFT-3514BC,telecentric,active,35.0,2.8,11.0,65.0,65.0,C-mount,120.0,350.0,999.0
2,63-786,telecentric,active,25.0,2.8,11.0,65.0,65.0,C-mount,110.0,320.0,1299.0
2,63-787,telecentric,active,35.0,2.8,11.0,65.0,65.0,C-mount,110.0,320.0,1399.0
8,LS-0814,linescan,active,8.0,2.8,11.0,100.0,,C-mount,45.0,120.0,599.0
8,LS-1628,linescan,active,16.0,2.8,14.1,100.0,,C-mount,50.0,150.0,799.0
8,LS-2528,linescan,active,25.0,2.8,14.1,150.0,,C-mount,55.0,180.0,899.0
9,MVL-ZM0618-5M,zoom,active,6.0,1.8,8.5,100.0,,C-mount,40.0,90.0,349.0
9,MVL-ZM1218-5M,zoom,active,12.0,1.8,11.0,100.0,,C-mount,45.0,110.0,449.0
9,MVL-ZM2518-5M,zoom,active,25.0,1.8,11.0,150.0,,C-mount,50.0,130.0,549.0
1,MVL-HF0828M-10MPE,fa,active,8.0,2.8,14.1,100.0,,C-mount,35.0,65.0,129.0
1,MVL-HF1228M-10MPE,fa,active,12.0,2.8,14.1,100.0,,C-mount,35.0,65.0,129.0
1,MVL-HF1628M-10MPE,fa,active,16.0,2.8,14.1,100.0,,C-mount,35.0,65.0,139.0
1,MVL-HF2528M-10MPE,fa,active,25.0,2.8,14.1,100.0,,C-mount,35.0,65.0,139.0
1,MVL-HF3528M-10MPE,fa,active,35.0,2.8,14.1,150.0,,C-mount,40.0,80.0,159.0
1,MVL-HF5028M-10MPE,fa,active,50.0,2.8,14.1,200.0,,C-mount,45.0,95.0,189.0
3,H5014-MP2,fa,active,50.0,1.4,11.0,200.0,,C-mount,40.0,75.0,219.0
4,LM8HC,fa,active,8.0,2.8,11.0,100.0,,C-mount,35.0,55.0,169.0
4,LM12HC,fa,active,12.0,2.8,11.0,100.0,,C-mount,35.0,55.0,169.0
10,LM25JC5M-C,fa,active,25.0,2.8,11.0,100.0,,C-mount,33.0,55.0,229.0
10,LM35JC5M-C,fa,active,35.0,2.8,11.0,150.0,,C-mount,38.0,65.0,249.0
10,LM50JC5M-C,fa,active,50.0,2.8,11.0,200.0,,C-mount,42.0,80.0,279.0
2,59871,fa,active,12.0,1.4,11.0,100.0,,C-mount,33.0,55.0,249.0
2,59876,fa,active,75.0,1.4,11.0,300.0,,C-mount,45.0,95.0,399.0
5,VS-5018H1,fa,active,50.0,1.8,11.0,200.0,,C-mount,40.0,75.0,199.0
6,MVL-KF0824M-12MP,fa,active,8.0,2.4,14.1,100.0,,C-mount,40.0,75.0,129.0
6,MVL-KF1224M-12MP,fa,active,12.0,2.4,14.1,100.0,,C-mount,40.0,75.0,129.0
